Timesteps_trained,rewards_mean,rewards_std,rewards_max,rewards_min,rewards_median,rewards_25,rewards_75
100.0,-5.823073350175284,3.963952973441559,-0.010956747457385063,-16.26856231689453,-5.492735862731934,-8.836723327636719,-2.191729247570038
200.0,-5.4448548583881,4.098888443898048,-0.008715434931218624,-16.24016761779785,-5.1156675815582275,-8.445142984390259,-1.5307584702968597
300.0,-7.456177347888425,2.4818534107522794,-0.03817956522107124,-14.942474365234375,-8.010843753814697,-9.291369676589966,-6.041500926017761
400.0,-6.032215184484794,4.177416297236529,-0.018055975437164307,-16.267057418823242,-5.3579370975494385,-9.059366941452026,-2.1806286573410034
500.0,-6.093212271704222,4.292272759521586,-0.0037164059467613697,-16.267404556274414,-5.096328020095825,-9.213587522506714,-2.2071195244789124
600.0,-5.999146375377057,4.018127872106142,-0.0024211634881794453,-16.25119972229004,-5.69377326965332,-8.931530237197876,-2.2877036333084106
700.0,-8.192512446442246,2.105134309063413,-0.056747082620859146,-14.666937828063965,-8.896983623504639,-9.595216035842896,-7.451229453086853
800.0,-6.232486039968767,4.2075005971872,-0.020119262859225273,-16.25370979309082,-5.559334993362427,-9.319308757781982,-2.333621025085449
900.0,-5.925002347272728,4.209788093849546,-0.004240115638822317,-16.24184799194336,-5.151949167251587,-9.020891666412354,-2.115394413471222
1000.0,-6.289310029589385,4.316423263591107,-0.022955406457185745,-16.254405975341797,-5.40556526184082,-9.400955438613892,-2.3633553981781006
1100.0,-6.111439177094679,4.3151586005720866,-0.008643480017781258,-16.26976776123047,-5.235602855682373,-9.311607599258423,-2.1680147647857666
1200.0,-6.03448327135318,4.3325351075441,-0.004451843444257975,-16.26488494873047,-5.054263114929199,-9.231235027313232,-2.112606108188629
1300.0,-5.992500265245506,4.249119664059446,-0.0006170702399685979,-16.260047912597656,-5.229764461517334,-9.059773683547974,-2.083924651145935
1400.0,-5.878647418720462,4.279762247477272,-0.005425821989774704,-16.264869689941406,-4.9459381103515625,-8.961727857589722,-2.047367811203003
1500.0,-6.030950050506461,4.327008223047118,-0.004183572251349688,-16.26703453063965,-5.087728977203369,-9.227591037750244,-2.129606246948242
1600.0,-6.36314316889015,3.341257358184533,-0.003387742443010211,-15.092720985412598,-6.764362573623657,-8.905035257339478,-3.792595088481903
1700.0,-6.522385630533285,3.0454768287422223,-0.009359071031212807,-15.094539642333984,-6.697436809539795,-8.80041790008545,-4.252140164375305
1800.0,-6.9097428917652,2.8089565822850533,-0.018133457750082016,-15.31067943572998,-7.26128888130188,-9.058018922805786,-4.881070494651794
1900.0,-7.313871027709916,2.592655753890711,-0.02790062129497528,-14.957083702087402,-7.864566087722778,-9.303104639053345,-5.547078847885132
2000.0,-5.953100976135931,4.350746061441074,-0.00012490681547205895,-16.2684326171875,-4.879206895828247,-9.162959814071655,-2.0568286776542664
2100.0,-5.689065908626059,3.9081135342931184,-0.001221894402988255,-16.24943733215332,-5.32747483253479,-8.786688327789307,-2.059521794319153
2200.0,-5.084438759449776,3.9329523183328603,-0.00266047241166234,-16.225311279296875,-4.292528390884399,-8.047088623046875,-1.6059615015983582
2300.0,-6.458151838296788,2.9461165755724954,-0.000367185304639861,-15.007457733154297,-6.4139134883880615,-8.771072149276733,-4.160000205039978
2400.0,-7.032181106032803,2.5141795259039568,-0.0026521969120949507,-14.840865135192871,-7.273224115371704,-9.009782075881958,-5.230867981910706
2500.0,-5.867972845265549,4.359948633169478,-0.008344865404069424,-16.267175674438477,-4.736626148223877,-9.078978061676025,-2.0025187134742737
2600.0,-5.531472491628304,4.205768898584718,-0.016072401776909828,-16.265125274658203,-4.579589366912842,-8.588947057723999,-1.73471137881279
2700.0,-6.476546861599013,4.246339835822065,-0.007557504810392857,-16.253190994262695,-5.676457405090332,-9.615201234817505,-2.6140159964561462
2800.0,-7.059909951140964,2.720820188343261,-0.0007065193494781852,-14.920049667358398,-7.422583818435669,-9.155579090118408,-5.120858073234558
2900.0,-5.915342296217801,3.962408451077689,-0.0022068405523896217,-16.25813102722168,-5.632589340209961,-8.766135215759277,-2.3203189969062805
3000.0,-5.868025016417529,3.760061181562158,-0.0015719446819275618,-16.255720138549805,-5.996135473251343,-8.848844766616821,-2.47453111410141
3100.0,-6.811643936920911,4.31774218294449,-0.029451776295900345,-16.266136169433594,-5.783558130264282,-10.30315637588501,-2.9237881898880005
3200.0,-6.176671010436863,3.7706634371993837,-0.022953642532229424,-16.252792358398438,-6.471097469329834,-8.95741605758667,-2.8090906739234924
3300.0,-5.889245429753885,3.660648456342083,-0.00218060496263206,-15.584367752075195,-5.627918481826782,-8.951314687728882,-2.7100536227226257
3400.0,-6.3396751398338,3.876049559981914,-0.0005484220455400646,-16.268173217773438,-6.490780830383301,-9.173580884933472,-2.7720038890838623
3500.0,-5.783594190828968,4.039166960220665,-0.015230772085487843,-16.242822647094727,-5.178191423416138,-8.76648998260498,-2.1333398818969727
3600.0,-7.303559562492743,2.478756068092765,-0.05101824551820755,-14.980819702148438,-7.658093690872192,-9.21831464767456,-5.656387805938721
3700.0,-6.230756155787804,4.395985163827916,-0.003898249240592122,-16.26617431640625,-5.093099355697632,-9.565135717391968,-2.2933157086372375
3800.0,-7.326472918499029,2.358981568631915,-0.006443681661039591,-14.38597297668457,-7.691839694976807,-9.103111743927002,-5.90357518196106
3900.0,-5.864196684252075,4.020429274723178,-0.0022037632297724485,-16.259765625,-5.553506851196289,-8.873770952224731,-2.1801902055740356
4000.0,-5.651194633390597,3.8822158524029793,-0.0007732038502581418,-16.17670249938965,-5.265824317932129,-8.679627656936646,-2.1298792958259583
4100.0,-6.189729844133742,4.123516660319095,-0.020274752750992775,-16.26937484741211,-5.57016921043396,-9.198182106018066,-2.4600066542625427
4200.0,-6.087897922799364,3.354761321983325,-0.019512390717864037,-15.829012870788574,-6.083407878875732,-8.714734554290771,-3.37172394990921
4300.0,-6.642768205139087,2.9345146740610226,-0.005307966377586126,-15.456336975097656,-6.7831995487213135,-8.954943180084229,-4.406934142112732
4400.0,-6.016288637965435,3.800757660080006,-0.0007243281579576433,-16.225732803344727,-6.141161918640137,-8.832213163375854,-2.5108513236045837
