Timesteps_trained,rewards_mean,rewards_std,rewards_max,rewards_min,rewards_median,rewards_25,rewards_75
1000.0,-8.340652665896924,1.126684613361707,-0.0692972235603812,-13.661694850510345,-8.46508241164365,-9.215967817114429,-7.600055443576057
11000.0,-7.009373815439394,4.458392241648019,-0.05172790400251413,-16.2687240224333,-5.912008393380976,-10.748746188625358,-3.143907298318607
21000.0,-7.055397994940806,4.4674436648616975,-0.05250509872216859,-16.269987651817445,-5.917467742970853,-10.813713833239149,-3.1345615650409564
31000.0,-8.017415490659298,1.4363912614701386,-0.30425123616774574,-14.920923910568446,-8.195033750500535,-9.195720158769111,-7.0009189368328375
41000.0,-7.609815565047847,4.24004887749131,-0.526703470431862,-16.273454767235474,-6.7881819962837096,-11.114677195867928,-3.8071988778928483
51000.0,-8.483002518415026,0.9701496809682403,-0.8375426903551376,-13.053999100439794,-8.539691419211525,-9.315344904094733,-7.757351685081024
